username	uid	count	places
63woods	1503983	1	bayarea
650597	3229676	2	chicago,toronto
650dakar_mod	275569	1	nairobi
66homer66	257947	1	berlin
673a	604523	1	berlin
67879798	581161	1	rio
67koki	2846280	1	tokyo
68arti	500871	1	toronto
693253898	2420553	1	london
69AD	2909633	2	kathmandu,losangeles
69espinoza	2374057	1	newyork
6U5T4V	2202395	1	mexicocity
6arms1leg	395161	3	barcelona,berlin,paris
6rKW2gfG	2488668	1	tokyo
6ril95100	644438	1	paris
6simplex	2164436	1	mumbai
700190	1864810	1	crimea
715371	715371	11	amsterdam,berlin,boston,crimea,haiti,istanbul,london,manchester,minsk,moscow,paris
7161	2391934	1	losangeles
71_FIL	1888525	1	montreal
725416	561156	1	crimea
74t3r	575631	1	sydney
750-katana	1710916	1	amsterdam
7503146	47064	5	berlin,montreal,quebec,toronto,vancouver
75287578	2433512	1	bayarea
777Sasa	449473	1	crimea
777Серый	3203450	1	crimea
77HUB	2298886	1	losangeles
77bit	2133867	1	losangeles
77whoooo	2111541	1	chicago
78890al	584149	1	paris
78grosours	159842	1	paris
78michel	363326	1	paris
78recoul	261838	1	paris
798VeV	464109	1	berlin
79s VOF	1801179	1	amsterdam
7clem	480867	1	paris
7dhd	699554	2	losangeles,tokyo
7erj	2315146	1	mumbai
7gardens	694582	1	boston
7homa5	1085279	1	paris
7nov	622764	1	jerusalem
7of9	1133272	1	losangeles
7up	1832469	1	berlin
7vies	1754366	1	montreal
8-zig	44568	1	berlin
80 West	362307	1	miami
80n	1238	3	bayarea,london,sydney
83w126	1425753	1	bayarea
84ace	1172604	1	sydney
85Bas	581707	2	amsterdam,london
85East	686439	1	kathmandu
85° East	667324	1	kathmandu
8626954	2385062	1	newyork
87maxi	2900737	1	buenosaires
883Rrider	2275413	2	paris,seattle
883dodger	598319	1	bayarea
88_ss	1771484	1	moscow
8K-096	2582966	1	moscow
8Ton	349296	1	jerusalem
8bit-CPU	144485	1	berlin
8castles8	3431147	1	boston
8dirfriend	3315483	1	tokyo
8er	1150311	1	berlin
8eter	412864	1	minsk
8iseoii	672137	1	seoul
8lettersuk	186135	1	london
900	674483	1	moscow
9003x	1745187	1	miami
9008bp_gmail	1251807	1	chicago
9100	3204286	1	tirana
919er	1195139	1	london
91GeV	372938	1	paris
91pepe	2430543	1	paris
92037	906723	1	sydney
928	2499632	1	tokyo
92hertz	2562784	1	haiti
950394174-J	1629342	1	boston
95llopez17	1796744	1	losangeles
9661	2344888	2	barcelona,paris
969rva	1919856	1	moscow
96_Pablo	2049407	1	santiago
96igerTimo	531431	1	berlin
96neko	615365	1	tokyo
97wrangler	184757	1	manchester
9821	2840507	1	tokyo
99117733	639835	1	vancouver
99Percent	2021972	1	mexicocity
99of9	104353	1	sydney
99scilla111	505011	1	sydney
9Alexey3	1740660	1	crimea
9dartfinish	3138511	1	berlin
9gel	2976278	1	bayarea
9porcupine	1708628	1	kathmandu
9u823iuhsd	633225	1	london
::::	648920	1	minsk
:Hanuman:	1042227	1	berlin
<0174	172147	2	douala,yaounde
<don>	45059	3	berlin,london,vancouver
<ふ>	337497	1	tokyo
>LAND	1735688	3	losangeles,seattle,vancouver
@5M-user	705182	1	paris
